t,Entree,RepInd
0.000000000000000000e+00,1.000000000000000000e+00,1.662256208799292589e-02
1.414141414141414088e-01,1.000000000000000000e+00,1.486307328896787350e-01
2.828282828282828176e-01,1.000000000000000000e+00,3.137559419495672408e-01
4.242424242424241987e-01,1.000000000000000000e+00,5.129701030284729013e-01
5.656565656565656353e-01,1.000000000000000000e+00,6.384290412657775970e-01
7.070707070707070718e-01,1.000000000000000000e+00,8.023388674356384254e-01
8.484848484848483974e-01,1.000000000000000000e+00,1.029401492293743337e+00
9.898989898989898339e-01,1.000000000000000000e+00,1.211254157601544312e+00
1.131313131313131271e+00,1.000000000000000000e+00,1.362505570187904302e+00
1.272727272727272707e+00,1.000000000000000000e+00,1.510440673159572755e+00
1.414141414141414144e+00,1.000000000000000000e+00,1.688038245623582512e+00
1.555555555555555580e+00,1.000000000000000000e+00,1.774435333414588589e+00
1.696969696969696795e+00,1.000000000000000000e+00,1.927240446978057742e+00
1.838383838383838231e+00,1.000000000000000000e+00,1.956076820056464882e+00
1.979797979797979668e+00,1.000000000000000000e+00,2.171012999608394445e+00
2.121212121212121104e+00,1.000000000000000000e+00,2.226684650011919508e+00
2.262626262626262541e+00,1.000000000000000000e+00,2.291306302137883222e+00
2.404040404040403978e+00,1.000000000000000000e+00,2.285206811439613794e+00
2.545454545454545414e+00,1.000000000000000000e+00,2.359160382059893202e+00
2.686868686868686851e+00,1.000000000000000000e+00,2.330149181566739891e+00
2.828282828282828287e+00,1.000000000000000000e+00,2.378305888615698915e+00
2.969696969696969724e+00,1.000000000000000000e+00,2.401090351708057291e+00
3.111111111111111160e+00,1.000000000000000000e+00,2.372346961556790923e+00
3.252525252525252597e+00,1.000000000000000000e+00,2.403826228251644270e+00
3.393939393939393590e+00,1.000000000000000000e+00,2.413063623461270346e+00
3.535353535353535026e+00,1.000000000000000000e+00,2.305995537252613303e+00
3.676767676767676463e+00,1.000000000000000000e+00,2.321838477285088409e+00
3.818181818181817899e+00,1.000000000000000000e+00,2.305238595663354317e+00
3.959595959595959336e+00,1.000000000000000000e+00,2.275858208047919273e+00
4.101010101010101216e+00,1.000000000000000000e+00,2.264595680118832721e+00
4.242424242424242209e+00,1.000000000000000000e+00,2.218030156247507101e+00
4.383838383838384090e+00,1.000000000000000000e+00,2.140699575346965311e+00
4.525252525252525082e+00,1.000000000000000000e+00,2.171656096039184192e+00
4.666666666666666075e+00,1.000000000000000000e+00,2.123224230930278011e+00
4.808080808080807955e+00,1.000000000000000000e+00,2.088702867112918415e+00
4.949494949494948948e+00,1.000000000000000000e+00,2.053937674711324934e+00
5.090909090909090828e+00,1.000000000000000000e+00,2.082097656047180223e+00
5.232323232323231821e+00,1.000000000000000000e+00,2.089135848049325617e+00
5.373737373737373701e+00,1.000000000000000000e+00,2.034024355719564081e+00
5.515151515151514694e+00,1.000000000000000000e+00,1.976615228375625755e+00
5.656565656565656575e+00,1.000000000000000000e+00,1.976319493030262553e+00
5.797979797979797567e+00,1.000000000000000000e+00,1.953629428942178725e+00
5.939393939393939448e+00,1.000000000000000000e+00,1.951120641177493287e+00
6.080808080808080440e+00,1.000000000000000000e+00,1.916785522171118750e+00
6.222222222222222321e+00,1.000000000000000000e+00,1.964284586867085292e+00
6.363636363636363313e+00,1.000000000000000000e+00,1.944371812338822947e+00
6.505050505050505194e+00,1.000000000000000000e+00,1.994603424720795548e+00
6.646464646464646187e+00,1.000000000000000000e+00,1.913884101084166067e+00
6.787878787878787179e+00,1.000000000000000000e+00,1.972604332727848631e+00
6.929292929292929060e+00,1.000000000000000000e+00,1.936087380680924452e+00
7.070707070707070052e+00,1.000000000000000000e+00,1.935895475096889529e+00
7.212121212121211933e+00,1.000000000000000000e+00,1.956203779664434483e+00
7.353535353535352925e+00,1.000000000000000000e+00,1.963922114147715003e+00
7.494949494949494806e+00,1.000000000000000000e+00,1.932244631837440441e+00
7.636363636363635798e+00,1.000000000000000000e+00,1.937915617933324119e+00
7.777777777777777679e+00,1.000000000000000000e+00,1.962500085151339668e+00
7.919191919191918672e+00,1.000000000000000000e+00,1.975161804643649432e+00
8.060606060606060552e+00,1.000000000000000000e+00,1.962961886440440784e+00
8.202020202020202433e+00,1.000000000000000000e+00,1.941639090808465973e+00
8.343434343434342537e+00,1.000000000000000000e+00,1.956620532439325322e+00
8.484848484848484418e+00,1.000000000000000000e+00,1.997566770270185588e+00
8.626262626262626299e+00,1.000000000000000000e+00,1.970946448052123046e+00
8.767676767676768179e+00,1.000000000000000000e+00,2.005665647281133612e+00
8.909090909090908283e+00,1.000000000000000000e+00,2.014942274740317174e+00
9.050505050505050164e+00,1.000000000000000000e+00,2.059596242560261192e+00
9.191919191919192045e+00,1.000000000000000000e+00,2.012231616238100429e+00
9.333333333333332149e+00,1.000000000000000000e+00,2.004559158986519485e+00
9.474747474747474030e+00,1.000000000000000000e+00,2.039486786155390696e+00
9.616161616161615910e+00,1.000000000000000000e+00,2.011175895096993571e+00
9.757575757575757791e+00,1.000000000000000000e+00,1.977913836453889740e+00
9.898989898989897895e+00,1.000000000000000000e+00,2.054966939354012645e+00
